infinitive,accented_infinitive,stem,suffix,aspect,partners,conjugation_type,ru_verb_presfut_sg1,ru_verb_presfut_sg2,ru_verb_presfut_sg3,ru_verb_presfut_pl1,ru_verb_presfut_pl2,ru_verb_presfut_pl3,ru_verb_imperative_sg,ru_verb_imperative_pl,ru_verb_past_m,ru_verb_past_f,ru_verb_past_n,ru_verb_past_pl
махать,маха'ть,маха,ть,imperfective,"махнуть,помахать",е-conj,(*) машу',(*) ма'шешь,(*) ма'шет,(*) ма'шем,(*) ма'шете,(*) ма'шут,(*) маши',(*) маши'те,,,,
меняться,меня'ться,меня,ться,imperfective,поменяться,е-conj,,,,,,,,,,,,
мечтать,мечта'ть,мечта,ть,imperfective,помечтать,е-conj,,,,,,,,,,,,
мочь,мо'чь,мо,чь,imperfective,смочь,е-conj,(*) могу',(*) мо'жешь,(*) мо'жет,(*) мо'жем,(*) мо'жете,(*) мо'гут,(*) моги',(*) моги'те,(*) мо'г,(*) могла',(*) могло',(*) могли'
мыть,мы'ть,мы,ть,imperfective,помыть;вымыть,е-conj,(*) мо'ю,(*) мо'ешь,(*) мо'ет,(*) мо'ем,(*) мо'ете,(*) мо'ют,(*) мо'й,(*) мо'йте,,,,
молиться,моли'ться,моли,ться,imperfective,помолиться,и-conj,,(') мо'лишься,(') мо'лится,(') мо'лимся,(') мо'литесь,(') мо'лятся,,,,,,
морить,мори'ть,мори,ть,imperfective,заморить;умори'ть,и-conj,,,,,,,,,,,,
мыться,мы'ться,мы,ться,imperfective,"помыться,умыться,вымыться",е-conj,(*) мо'юсь,(*) мо'ешься,(*) мо'ется,(*) мо'емся,(*) мо'етесь,(*) мо'ются,(*) мо'йся,(*) мо'йтесь,,,,
надевать,надева'ть,надева,ть,imperfective,надеть,е-conj,,,,,,,,,,,,
надеть,наде'ть,наде,ть,perfective,надевать,е-conj,(*) наде'ну,(*) наде'нешь,(*) наде'нет,(*) наде'нем,(*) наде'нете,(*) наде'нут,(*) наде'нь,(*) наде'ньте,,,,
нажать,нажа'ть,нажа,ть,perfective,нажимать,е-conj,(*) нажму',(*) нажмёшь,(*) нажмёт,(*) нажмём,(*) нажмёте,(*) нажму'т,(*) нажми',(*) нажми'те,,,,
называться,называ'ться,называ,ться,imperfective,назваться,е-conj,,,,,,,,,,,,
найти,найти',най,ти,perfective,находить,е-conj,(*) найду',(*) найдёшь,(*) найдёт,(*) найдём,(*) найдёте,(*) найду'т,(*) найди',(*) найди'те,(*) нашёл,(*) нашла',(*) нашло',(*) нашли'
написать,написа'ть,написа,ть,perfective,писать,е-conj,(*) напишу',(*) напи'шешь,(*) напи'шет,(*) напи'шем,(*) напи'шете,(*) напи'шут,(*) напиши',(*) напиши'те,,,,
нарисовать,нарисова'ть,нарисова,ть,perfective,рисовать,е-conj,(*) нарису'ю,(*) нарису'ешь,(*) нарису'ет,(*) нарису'ем,(*) нарису'ете,(*) нарису'ют,(*) нарису'й,(*) нарису'йте,,,,
научиться,научи'ться,научи,ться,perfective,учиться;научаться,и-conj,,(') нау'чишься,(') нау'чится,(') нау'чимся,(') нау'читесь,(') нау'чатся,,,,,,
находиться,находи'ться,находи,ться,imperfective,найтись,и-conj,(*) нахожу'сь,(') нахо'дишься,(') нахо'дится,(') нахо'димся,(') нахо'дитесь,(') нахо'дятся,,,,,,
находить,находи'ть,находи,ть,imperfective,найти,и-conj,(*) нахожу',(') нахо'дишь,(') нахо'дит,(') нахо'дим,(') нахо'дите,(') нахо'дят,,,,,,
начать,нача'ть,нача,ть,perfective,начинать,е-conj,(*) начну',(*) начнёшь,(*) начнёт,(*) начнём,(*) начнёте,(*) начну'т,(*) начни',(*) начни'те,(') на'чал,(') начала',(') на'чало,(') на'чали
начинаться,начина'ться,начина,ться,imperfective,начаться,е-conj,,,,,,,,,,,,
нашить,наши'ть,наши,ть,perfective,нашивать,*е-conj,(*) нашью',(*) нашьёшь,(*) нашьёт,(*) нашьём,(*) нашьёте,(*) нашью'т,(*) наше'й,(*) наше'йте,,,,
нравиться,нра'виться,нрави,ться,imperfective,понравиться,и-conj,,,,,,,,,,,,
обедать,обе'дать,обеда,ть,imperfective,пообедать,е-conj,,,,,,,,,,,,
обсудить,обсуди'ть,обсуди,ть,perfective,обсуждать;обсу'живать,и-conj,(*) обсужу',(') обсу'дишь,(') обсу'дит,(') обсу'дим,(') обсу'дите,(') обсу'дят,,,,,,
