infinitive,accented_infinitive,stem,suffix,aspect,partners,conjugation_type,ru_verb_presfut_sg1,ru_verb_presfut_sg2,ru_verb_presfut_sg3,ru_verb_presfut_pl1,ru_verb_presfut_pl2,ru_verb_presfut_pl3,ru_verb_imperative_sg,ru_verb_imperative_pl,ru_verb_past_m,ru_verb_past_f,ru_verb_past_n,ru_verb_past_pl
пропустить,пропусти'ть,пропуст,ить,perfective,пропускать,и-conj,*пропущу',~пропу'стишь,~пропу'стит,~пропу'стим,~пропу'стите,~пропу'стят,пропусти',пропусти'те,пропусти'л,пропусти'ла,пропусти'ло,пропусти'ли
проспать,проспа'ть,просп,ать,perfective,просыпать,*и-conj,просплю',проспи'шь,проспи'т,проспи'м,проспи'те,проспя'т,проспи',проспи'те,проспа'л,~проспала',проспа'ло,проспа'ли
простить,прости'ть,прост,ить,perfective,прощать,и-conj,*прощу',прости'шь,прости'т,прости'м,прости'те,простя'т,прости',прости'те,прости'л,прости'ла,прости'ло,прости'ли
простоять,простоя'ть,просто,ять,perfective,простаивать,*и-conj,простою',простои'шь,простои'т,простои'м,простои'те,простоя'т,~просто'й,~просто'йте,простоя'л,простоя'ла,простоя'ло,простоя'ли
прыгать,пры'гать,прыг,ать,imperfective,"попрыгать,прыгнуть",е-conj,пры'гаю,пры'гаешь,пры'гает,пры'гаем,пры'гаете,пры'гают,пры'гай,пры'гайте,пры'гал,пры'гала,пры'гало,пры'гали
путешествовать,путеше'ствовать,путешествов,ать,imperfective,попутешествовать,е-conj,путеше'ствую,путеше'ствуешь,путеше'ствует,путеше'ствуем,путеше'ствуете,путеше'ствуют,путеше'ствуй,путеше'ствуйте,путеше'ствовал,путеше'ствовала,путеше'ствовало,путеше'ствовали
работать,рабо'тать,работ,ать,imperfective,поработать;сработать,е-conj,рабо'таю,рабо'таешь,рабо'тает,рабо'таем,рабо'таете,рабо'тают,рабо'тай,рабо'тайте,рабо'тал,рабо'тала,рабо'тало,рабо'тали
разбить,разби'ть,разб,ить,perfective,разбивать,*е-conj,*разобью',*разобьёшь,*разобьёт,*разобьём,*разобьёте,*разобью'т,*разбе'й,*разбе'йте,разби'л,разби'ла,разби'ло,разби'ли
разобрать,разобра'ть,разобр,ать,perfective,разбирать,е-conj,*разберу',*разберёшь,*разберёт,*разберём,*разберёте,*разберу'т,*разбери',*разбери'те,разобра'л,~разобрала',разобра'ло,разобра'ли
разработать,разрабо'тать,разработ,ать,perfective,разрабатывать,е-conj,разрабо'таю,разрабо'таешь,разрабо'тает,разрабо'таем,разрабо'таете,разрабо'тают,разрабо'тай,разрабо'тайте,разрабо'тал,разрабо'тала,разрабо'тало,разрабо'тали
